N,Time,max(abs(vorticity))
1001,0,0
1001,0.1,0
1001,0.2,0
1001,0.3,0
1001,0.4,1.8058
1001,0.5,6.5874
1001,0.6,9.2738
1001,0.7,9.9504
1001,0.8,9.4462
1001,0.9,8.5526
1001,1,8.0308
1001,1.1,8.6832
1001,1.2,8.9072
1001,1.3,8.6203
1001,1.4,7.9468
1001,1.5,7.1126
1001,1.6,7.5252
1001,1.7,7.4782
1001,1.8,7.1331
1001,1.9,6.5788
1001,2,6.4805
1001,2.1,6.4726
1001,2.2,6.0982
1001,2.3,5.0856
1001,2.4,4.9981
1001,2.5,4.5957
1001,2.6,4.095
1001,2.7,4.1935
1001,2.8,3.7551
1001,2.9,4.1514
1001,3,3.6858
1001,3.1,4.0209
1001,3.2,3.7514
1001,3.3,4.259
1001,3.4,4.1811
1001,3.5,4.5357
1001,3.6,4.5748
1001,3.7,4.6067
1001,3.8,4.6997
1001,3.9,4.3004
1001,4,4.2657
1001,4.1,4.0384
1001,4.2,4.9058
1001,4.3,6.0879
1001,4.4,7.3281
1001,4.5,8.2807
1001,4.6,8.7894
1001,4.7,9.0272
1001,4.8,8.7585
1001,4.9,8.6649
1001,5,8.2314
1001,5.1,8.025
1001,5.2,7.6994
1001,5.3,7.4123
1001,5.4,7.1747
1001,5.5,6.8774
1001,5.6,6.6891
1001,5.7,6.424
1001,5.8,6.2776
1001,5.9,6.0907
1001,6,5.9639
1001,6.1,5.8568
1001,6.2,5.8185
1001,6.3,5.7777
1001,6.4,5.809
1001,6.5,5.7737
1001,6.6,5.8456
1001,6.7,5.8452
1001,6.8,5.9313
1001,6.9,5.9395
1001,7,6.0256
1001,7.1,5.9891
1001,7.2,6.0688
1001,7.3,6.0096
1001,7.4,6.0037
1001,7.5,5.9569
1001,7.6,5.8531
1001,7.7,5.8368
1001,7.8,5.7056
1001,7.9,5.6891
1001,8,5.6206
1001,8.1,5.561
1001,8.2,5.5461
1001,8.3,5.4564
1001,8.4,5.4927
1001,8.5,5.4393
1001,8.6,5.4657
1001,8.7,5.4638
1001,8.8,5.4531
1001,8.9,5.5038
1001,9,5.4627
1001,9.1,5.5506
1001,9.2,5.5408
1001,9.3,5.5896
1001,9.4,5.6133
1001,9.5,5.6176
1001,9.6,5.6698
1001,9.7,5.6215
1001,9.8,5.701
1001,9.9,5.6365
1001,10,5.7039
1001,10.1,5.6602
1001,10.2,5.6757
1001,10.3,5.6559
1001,10.4,5.5923
1001,10.5,5.6198
1001,10.6,5.4994
1001,10.7,5.5267
1001,10.8,5.4479
1001,10.9,5.4057
1001,11,5.3586
1001,11.1,5.2535
1001,11.2,5.2325
1001,11.3,5.1158
1001,11.4,5.0765
1001,11.5,4.9928
1001,11.6,4.8884
1001,11.7,4.8437
1001,11.8,4.7337
1001,11.9,4.6635
1001,12,4.597
1001,12.1,4.4882
1001,12.2,4.4347
1001,12.3,4.3661
1001,12.4,4.2694
1001,12.5,4.2242
1001,12.6,4.1627
1001,12.7,4.0878
1001,12.8,4.0368
1001,12.9,3.9928
1001,13,3.9342
1001,13.1,3.8798
1001,13.2,3.8567
1001,13.3,3.8098
1001,13.4,3.7745
1001,13.5,3.7695
1001,13.6,3.7264
1001,13.7,3.7165
1001,13.8,3.7067
1001,13.9,3.6782
1001,14,3.6847
1001,14.1,3.6761
1001,14.2,3.6699
1001,14.3,3.6825
